STUDENT_ID,STUDENT_NAME,DOB,CGPA,SEMESTER
1001,Emily Johnson,14/02/2002,8.526,2
1002,Ethan Martinez,05/09/2004,7.234,2
1003,Sophia Brown,20/06/2003,5.367,2
1004,Liam Thompson,03/11/2001,9.012,2
1005,Olivia Davis,28/07/2000,6.854,2
1006,Noah Rodriguez,19/12/2005,7.527,2
1007,Ava Wilson,10/03/2002,8.145,2
1008,Mason Moore,25/08/2003,7.421,2
1009,Isabella Lee,09/05/2001,6.789,2
1010,William Taylor,02/01/2004,9.234,2
1011,Sophia Anderson,18/09/2000,7.876,2
1012,James White,14/04/2003,6.543,2
1013,Charlotte Clark,30/11/2002,8.912,2
1014,Aiden Hall,22/07/2001,7.234,2
1015,Amelia Scott,05/12/2004,6.789,2
1016,Alexander Green,19/02/2000,8.345,2
1017,Ella Adams,11/10/2003,7.456,2
1018,Michael Baker,03/05/2002,8.123,2
1019,Mia Garcia,28/01/2005,6.789,2
1020,Benjamin Martinez,01/08/2000,8.567,2
1021,Samantha King,16/06/2003,7.234,2
1022,Daniel Young,20/03/2001,7.890,2
1023,Grace Hernandez,09/09/2004,8.345,2
1024,Logan Lopez,13/12/2002,6.789,2
1025,Evelyn Gonzalez,24/04/2001,7.234,2
1026,Jack Harris,07/11/2004,8.012,2
1027,Lucas Wilson,31/07/2003,6.789,2
1028,Ella Moore,15/02/2000,7.567,2
1029,Lincoln Turner,28/09/2005,8.345,2
1030,Lily Allen,02/05/2002,6.789,2
1031,Owen Adams,19/01/2001,7.234,2
1032,Scarlett Hill,23/08/2004,8.123,2
1033,Wyatt Rivera,08/04/2003,6.789,2
1034,Chloe Collins,11/11/2000,7.456,2
1035,Matthew Mitchell,27/06/2005,8.567,2
1036,Zoe Perez,10/03/2002,6.789,2
1037,Carter Carter,14/10/2001,7.234,2
1038,Hannah Wright,28/05/2004,8.345,2
1039,Isaac Baker,01/12/2003,6.789,2
1040,Eleanor Torres,17/07/2000,7.890,2
1041,Sebastian Sanchez,21/09/2005,8.123,2
1042,Riley Morris,04/02/2002,6.789,2
1043,Victoria Ramirez,09/11/2001,7.234,2
1044,Nathan Reed,12/04/2004,8.456,2
1045,Madison Price,26/01/2003,6.789,2
1046,Julian Peterson,30/08/2000,7.234,2
1047,Hazel Cooper,03/03/2005,8.123,2
1048,Gabriel Rivera,18/10/2002,6.789,2
1049,Stella Stewart,22/05/2001,7.234,2
1050,David Wright,05/12/2004,8.567,2    
1051,Sophie Bailey,14/09/2002,7.456,2
1052,Lucas Cox,27/04/2001,8.234,2
1053,Ella Murphy,01/11/2004,6.789,2
1054,Nathan Kelly,05/07/2003,7.890,2
1055,Ava Richardson,19/02/2000,8.123,2
1056,Leo Wood,23/10/2005,6.789,2
1057,Harper Brooks,08/05/2002,7.234,2
1058,Matthew Hayes,12/12/2001,8.345,2
1059,Aria James,26/07/2004,6.789,2
1060,Ethan Russell,30/03/2003,7.234,2
1061,Abigail Hughes,03/10/2000,8.123,2
1062,Mason Reed,17/05/2005,6.789,2
1063,Sophia Price,21/01/2002,7.234,2
1064,Liam Collins,04/08/2001,8.456,2
1065,Isabella Ward,09/11/2004,6.789,2
1066,Oliver Griffin,13/04/2003,7.234,2
1067,Amelia Coleman,26/10/2000,8.567,2
1068,Elijah Bell,31/03/2005,6.789,2
1069,Charlotte Foster,14/09/2002,7.234,2
1070,James Perry,28/04/2001,8.123,2
1071,Avery Butler,02/11/2004,6.789,2
1072,Sofia Barnes,06/07/2003,7.234,2
1073,Lucas Simmons,20/02/2000,8.345,2
1074,Scarlett Diaz,24/10/2005,6.789,2
1075,Noah Hayes,09/05/2002,7.234,2
1076,Chloe Ward,13/12/2001,8.567,2
1077,Grace Harrison,17/06/2004,6.789,2
1078,Mason Mitchell,30/01/2003,7.234,2
1079,Ella Watson,04/08/2000,8.123,2
1080,Liam Peterson,19/03/2005,6.789,2
1081,Ava Cooper,22/10/2002,7.234,2
1082,Logan Brooks,26/05/2001,8.345,2
1083,Sophia Rivera,31/12/2004,6.789,2
1084,Jack Barnes,14/04/2003,7.234,2
1085,Ella Stewart,18/09/2000,8.456,2
1086,Luke Ramirez,22/12/2005,6.789,2
1087,Isabella Cox,27/07/2002,7.234,2
1088,Owen Ward,31/01/2001,8.567,2
1089,Hannah Mitchell,05/08/2004,6.789,2
1090,William Watson,10/01/2003,7.234,2
1091,Sophia Parker,14/06/2000,8.123,2
1092,Ethan Perry,27/10/2005,6.789,2
1093,Amelia Fisher,01/05/2002,7.234,2
1094,Liam Roberts,05/12/2001,8.345,2
1095,Ava Simmons,19/07/2004,6.789,2
1096,James Cooper,23/02/2003,7.234,2
1097,Olivia Bailey,27/09/2000,8.567,2
1098,Lucas Barnes,02/04/2005,6.789,2
1099,Charlotte Stewart,16/11/2002,7.234,2
1100,Noah Ramirez,20/05/2001,8.345,2
1101,Emma Foster,14/10/2002,7.456,2
1102,Mason Parker,27/04/2001,8.234,2
1103,Olivia Cox,01/11/2004,6.789,2
1104,Liam Kelly,05/07/2003,7.890,2
1105,Sophia Richardson,19/02/2000,8.123,2
1106,Ethan Wood,23/10/2005,6.789,2
1107,Isabella Brooks,08/05/2002,7.234,2
1108,William Hayes,12/12/2001,8.345,2
1109,Ava James,26/07/2004,6.789,2
1110,Noah Russell,30/03/2003,7.234,2
1111,Charlotte Hughes,03/10/2000,8.123,2
1112,Lucas Reed,17/05/2005,6.789,2
1113,Grace Price,21/01/2002,7.234,2
1114,Owen Collins,04/08/2001,8.456,2
1115,Avery Ward,09/11/2004,6.789,2
1116,Hannah Griffin,13/04/2003,7.234,2
1117,Logan Coleman,26/10/2000,8.567,2
1118,Ella Bell,31/03/2005,6.789,2
1119,Jack Foster,14/09/2002,7.234,2
1120,Sophie Perry,28/04/2001,8.123,2
1121,Liam Butler,02/11/2004,6.789,2
1122,Olivia Barnes,06/07/2003,7.234,2
1123,Emma Simmons,20/02/2000,8.345,2
1124,Mason Diaz,24/10/2005,6.789,2
1125,Sophia Hayes,09/05/2002,7.234,2
1126,William Ward,13/12/2001,8.567,2
1127,Isabella Peterson,17/06/2004,6.789,2
1128,James Mitchell,30/01/2003,7.234,2
1129,Ella Watson,04/08/2000,8.123,2
1130,Liam Peterson,19/03/2005,6.789,2
1131,Ava Cooper,22/10/2002,7.234,2
1132,Logan Brooks,26/05/2001,8.345,2
1133,Sophia Rivera,31/12/2004,6.789,2
1134,Jack Barnes,14/04/2003,7.234,2
1135,Ella Stewart,18/09/2000,8.456,2
1136,Luke Ramirez,22/12/2005,6.789,2
1137,Isabella Cox,27/07/2002,7.234,2
1138,Owen Ward,31/01/2001,8.567,2
1139,Hannah Mitchell,05/08/2004,6.789,2
1140,William Watson,10/01/2003,7.234,2
1141,Sophia Parker,14/06/2000,8.123,2
1142,Ethan Perry,27/10/2005,6.789,2
1143,Amelia Fisher,01/05/2002,7.234,2
1144,Liam Roberts,05/12/2001,8.345,2
1145,Ava Simmons,19/07/2004,6.789,2
1146,James Cooper,23/02/2003,7.234,2
1147,Olivia Bailey,27/09/2000,8.567,2
1148,Lucas Barnes,02/04/2005,6.789,2
1149,Charlotte Stewart,16/11/2002,7.234,2
1150,Noah Ramirez,20/05/2001,8.345,2
1151,Emma Foster,14/10/2002,7.456,2
1152,Mason Parker,27/04/2001,8.234,2
1153,Olivia Cox,01/11/2004,6.789,2
1154,Liam Kelly,05/07/2003,7.890,2
1155,Sophia Richardson,19/02/2000,8.123,2
1156,Ethan Wood,23/10/2005,6.789,2
1157,Isabella Brooks,08/05/2002,7.234,2
1158,William Hayes,12/12/2001,8.345,2
1159,Ava James,26/07/2004,6.789,2
1160,Noah Russell,30/03/2003,7.234,2
1161,Charlotte Hughes,03/10/2000,8.123,2
1162,Lucas Reed,17/05/2005,6.789,2
1163,Grace Price,21/01/2002,7.234,2
1164,Owen Collins,04/08/2001,8.456,2
1165,Avery Ward,09/11/2004,6.789,2
1166,Hannah Griffin,13/04/2003,7.234,2
1167,Logan Coleman,26/10/2000,8.567,2
1168,Ella Bell,31/03/2005,6.789,2
1169,Jack Foster,14/09/2002,7.234,2
1170,Sophie Perry,28/04/2001,8.123,2
1171,Liam Butler,02/11/2004,6.789,2
1172,Olivia Barnes,06/07/2003,7.234,2
1173,Emma Simmons,20/02/2000,8.345,2
1174,Mason Diaz,24/10/2005,6.789,2
1175,Sophia Hayes,09/05/2002,7.234,2
1176,William Ward,13/12/2001,8.567,2
1177,Isabella Peterson,17/06/2004,6.789,2
1178,James Mitchell,30/01/2003,7.234,2
1179,Ella Watson,04/08/2000,8.123,2
1180,Liam Peterson,19/03/2005,6.789,2
1181,Ava Cooper,22/10/2002,7.234,2
1182,Logan Brooks,26/05/2001,8.345,2
1183,Sophia Rivera,31/12/2004,6.789,2
1184,Jack Barnes,14/04/2003,7.234,2
1185,Ella Stewart,18/09/2000,8.456,2
1186,Luke Ramirez,22/12/2005,6.789,2
1187,Isabella Cox,27/07/2002,7.234,2
1188,Owen Ward,31/01/2001,8.567,2
1189,Hannah Mitchell,05/08/2004,6.789,2
1190,William Watson,10/01/2003,7.234,2
1191,Sophia Parker,14/06/2000,8.123,2
1192,Ethan Perry,27/10/2005,6.789,2
1193,Amelia Fisher,01/05/2002,7.234,2
1194,Liam Roberts,05/12/2001,8.345,2
1195,Ava Simmons,19/07/2004,6.789,2
1196,James Cooper,23/02/2003,7.234,2
1197,Olivia Bailey,27/09/2000,8.567,2
1198,Lucas Barnes,02/04/2005,6.789,2
1199,Charlotte Stewart,16/11/2002,7.234,2
1200,Noah Ramirez,20/05/2001,8.345,2
1201,Emma Foster,14/10/2002,7.456,2
1202,Mason Parker,27/04/2001,8.234,2
1203,Olivia Cox,01/11/2004,6.789,2
1204,Liam Kelly,05/07/2003,7.890,2
1205,Sophia Richardson,19/02/2000,8.123,2
1206,Ethan Wood,23/10/2005,6.789,2
1207,Isabella Brooks,08/05/2002,7.234,2
1208,William Hayes,12/12/2001,8.345,2
1209,Ava James,26/07/2004,6.789,2
1210,Noah Russell,30/03/2003,7.234,2
1211,Charlotte Hughes,03/10/2000,8.123,2
1212,Lucas Reed,17/05/2005,6.789,2
1213,Grace Price,21/01/2002,7.234,2
1214,Owen Collins,04/08/2001,8.456,2
1215,Avery Ward,09/11/2004,6.789,2
1216,Hannah Griffin,13/04/2003,7.234,2
1217,Logan Coleman,26/10/2000,8.567,2
1218,Ella Bell,31/03/2005,6.789,2
1219,Jack Foster,14/09/2002,7.234,2
1220,Sophie Perry,28/04/2001,8.123,2
1221,Liam Butler,02/11/2004,6.789,2
1222,Olivia Barnes,06/07/2003,7.234,2
1223,Emma Simmons,20/02/2000,8.345,2
1224,Mason Diaz,24/10/2005,6.789,2
1225,Sophia Hayes,09/05/2002,7.234,2
1226,William Ward,13/12/2001,8.567,2
1227,Isabella Peterson,17/06/2004,6.789,2
1228,James Mitchell,30/01/2003,7.234,2
1229,Ella Watson,04/08/2000,8.123,2
1230,Liam Peterson,19/03/2005,6.789,2
1231,Ava Cooper,22/10/2002,7.234,2
1232,Logan Brooks,26/05/2001,8.345,2
1233,Sophia Rivera,31/12/2004,6.789,2
1234,Jack Barnes,14/04/2003,7.234,2
1235,Ella Stewart,18/09/2000,8.456,2
1236,Luke Ramirez,22/12/2005,6.789,2
1237,Isabella Cox,27/07/2002,7.234,2
1238,Owen Ward,31/01/2001,8.567,2
1239,Hannah Mitchell,05/08/2004,6.789,2
1240,William Watson,10/01/2003,7.234,2
1241,Sophia Parker,14/06/2000,8.123,2
1242,Ethan Perry,27/10/2005,6.789,2
1243,Amelia Fisher,01/05/2002,7.234,2
1244,Liam Roberts,05/12/2001,8.345,2
1245,Ava Simmons,19/07/2004,6.789,2
1246,James Cooper,23/02/2003,7.234,2
1247,Olivia Bailey,27/09/2000,8.567,2
